"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","TAIL_NUM","FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","DIVERTED","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2009,12,2,3,"9E",20363,"9E","91879E","850","ATL","Atlanta, GA","GA","Georgia",34,"RDU","Raleigh/Durham, NC","NC","North Carolina",36,"1755","1803",8.00,"1929","1943",14.00,0.00,"",0.00,61.00,356.00,,,,,,
2009,12,3,4,"9E",20363,"9E","92289E","850","ATL","Atlanta, GA","GA","Georgia",34,"RDU","Raleigh/Durham, NC","NC","North Carolina",36,"1755","1752",-3.00,"1929","1924",-5.00,0.00,"",0.00,49.00,356.00,,,,,,
2009,12,4,5,"9E",20363,"9E","91629E","850","ATL","Atlanta, GA","GA","Georgia",34,"RDU","Raleigh/Durham, NC","NC","North Carolina",36,"1755","1754",-1.00,"1929","1920",-9.00,0.00,"",0.00,53.00,356.00,,,,,,
2009,12,6,7,"9E",20363,"9E","91709E","850","ATL","Atlanta, GA","GA","Georgia",34,"RDU","Raleigh/Durham, NC","NC","North Carolina",36,"1755","1750",-5.00,"1929","1917",-12.00,0.00,"",0.00,51.00,356.00,,,,,,
2009,12,7,1,"9E",20363,"9E","92289E","850","ATL","Atlanta, GA","GA","Georgia",34,"RDU","Raleigh/Durham, NC","NC","North Carolina",36,"1755","1752",-3.00,"1929","1930",1.00,0.00,"",0.00,57.00,356.00,,,,,,
2009,12,9,3,"9E",20363,"9E","92009E","850","ATL","Atlanta, GA","GA","Georgia",34,"RDU","Raleigh/Durham, NC","NC","North Carolina",36,"1755","1753",-2.00,"1929","1934",5.00,0.00,"",0.00,53.00,356.00,,,,,,
2009,12,10,4,"9E",20363,"9E","91539E","850","ATL","Atlanta, GA","GA","Georgia",34,"RDU","Raleigh/Durham, NC","NC","North Carolina",36,"1755","1754",-1.00,"1929","1920",-9.00,0.00,"",0.00,52.00,356.00,,,,,,
2009,12,11,5,"9E",20363,"9E","92289E","850","ATL","Atlanta, GA","GA","Georgia",34,"RDU","Raleigh/Durham, NC","NC","North Carolina",36,"1755","1753",-2.00,"1929","1905",-24.00,0.00,"",0.00,48.00,356.00,,,,,,
2009,12,13,7,"9E",20363,"9E","91629E","850","ATL","Atlanta, GA","GA","Georgia",34,"RDU","Raleigh/Durham, NC","NC","North Carolina",36,"1755","1924",89.00,"1929","2059",90.00,0.00,"",0.00,54.00,356.00,0.00,0.00,1.00,0.00,89.00,
2009,12,14,1,"9E",20363,"9E","91869E","850","ATL","Atlanta, GA","GA","Georgia",34,"RDU","Raleigh/Durham, NC","NC","North Carolina",36,"1755","1836",41.00,"1929","1954",25.00,0.00,"",0.00,57.00,356.00,0.00,0.00,25.00,0.00,0.00,
2009,12,16,3,"9E",20363,"9E","91959E","850","ATL","Atlanta, GA","GA","Georgia",34,"RDU","Raleigh/Durham, NC","NC","North Carolina",36,"1755","1753",-2.00,"1929","1919",-10.00,0.00,"",0.00,55.00,356.00,,,,,,
2009,12,24,4,"9E",20363,"9E","92289E","850","ATL","Atlanta, GA","GA","Georgia",34,"RDU","Raleigh/Durham, NC","NC","North Carolina",36,"1110","1105",-5.00,"1236","1225",-11.00,0.00,"",0.00,49.00,356.00,,,,,,
2009,12,5,6,"9E",20363,"9E","91979E","850","ATL","Atlanta, GA","GA","Georgia",34,"RIC","Richmond, VA","VA","Virginia",38,"0942","0940",-2.00,"1133","1116",-17.00,0.00,"",0.00,62.00,481.00,,,,,,
2009,12,8,2,"9E",20363,"9E","91539E","850","ATL","Atlanta, GA","GA","Georgia",34,"RIC","Richmond, VA","VA","Virginia",38,"0942","0942",0.00,"1133","1112",-21.00,0.00,"",0.00,64.00,481.00,,,,,,
