"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","TAIL_NUM","FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","DIVERTED","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2009,12,5,6,"9E",20363,"9E","91619E","863","CHS","Charleston, SC","SC","South Carolina",37,"ATL","Atlanta, GA","GA","Georgia",34,"1515","1532",17.00,"1640","1643",3.00,0.00,"",0.00,52.00,259.00,,,,,,
2009,12,6,7,"9E",20363,"9E","91539E","863","CHS","Charleston, SC","SC","South Carolina",37,"ATL","Atlanta, GA","GA","Georgia",34,"1530","1528",-2.00,"1659","1641",-18.00,0.00,"",0.00,49.00,259.00,,,,,,
2009,12,12,6,"9E",20363,"9E","92329E","863","CHS","Charleston, SC","SC","South Carolina",37,"ATL","Atlanta, GA","GA","Georgia",34,"1515","1508",-7.00,"1640","1621",-19.00,0.00,"",0.00,57.00,259.00,,,,,,
2009,12,1,2,"9E",20363,"9E","89429E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1224",-1.00,"1444","1436",-8.00,0.00,"",0.00,117.00,668.00,,,,,,
2009,12,2,3,"9E",20363,"9E","85809E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1222",-3.00,"1444","1426",-18.00,0.00,"",0.00,95.00,668.00,,,,,,
2009,12,3,4,"9E",20363,"9E","89089E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1222",-3.00,"1444","1418",-26.00,0.00,"",0.00,96.00,668.00,,,,,,
2009,12,4,5,"9E",20363,"9E","89309E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1210",-15.00,"1444","1405",-39.00,0.00,"",0.00,92.00,668.00,,,,,,
2009,12,5,6,"9E",20363,"9E","86839E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1222",-3.00,"1444","1424",-20.00,0.00,"",0.00,97.00,668.00,,,,,,
2009,12,6,7,"9E",20363,"9E","83909E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1223",-2.00,"1444","1426",-18.00,0.00,"",0.00,101.00,668.00,,,,,,
2009,12,7,1,"9E",20363,"9E","85809E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1213",-12.00,"1444","1429",-15.00,0.00,"",0.00,106.00,668.00,,,,,,
2009,12,8,2,"9E",20363,"9E","89729E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1222",-3.00,"1444","1433",-11.00,0.00,"",0.00,109.00,668.00,,,,,,
2009,12,9,3,"9E",20363,"9E","85879E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1220",-5.00,"1444","1456",12.00,0.00,"",0.00,111.00,668.00,,,,,,
2009,12,10,4,"9E",20363,"9E","85989E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1520",175.00,"1444","1729",165.00,0.00,"",0.00,103.00,668.00,165.00,0.00,0.00,0.00,0.00,
2009,12,11,5,"9E",20363,"9E","89809E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1221",-4.00,"1444","1440",-4.00,0.00,"",0.00,116.00,668.00,,,,,,
2009,12,12,6,"9E",20363,"9E","87459E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1220",-5.00,"1444","1427",-17.00,0.00,"",0.00,102.00,668.00,,,,,,
2009,12,13,7,"9E",20363,"9E","80209E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1220",-5.00,"1444","1428",-16.00,0.00,"",0.00,105.00,668.00,,,,,,
2009,12,14,1,"9E",20363,"9E","84329E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1225",0.00,"1444","1440",-4.00,0.00,"",0.00,106.00,668.00,,,,,,
2009,12,15,2,"9E",20363,"9E","89039E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1213",-12.00,"1444","1428",-16.00,0.00,"",0.00,111.00,668.00,,,,,,
2009,12,16,3,"9E",20363,"9E","80199E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1225","1215",-10.00,"1444","1432",-12.00,0.00,"",0.00,107.00,668.00,,,,,,
2009,12,17,4,"9E",20363,"9E","85249E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1217",-3.00,"1438","1433",-5.00,0.00,"",0.00,108.00,668.00,,,,,,
2009,12,18,5,"9E",20363,"9E","89059E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1217",-3.00,"1438","1428",-10.00,0.00,"",0.00,89.00,668.00,,,,,,
2009,12,19,6,"9E",20363,"9E","88399E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1229",9.00,"1438","1434",-4.00,0.00,"",0.00,99.00,668.00,,,,,,
2009,12,20,7,"9E",20363,"9E","87949E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1223",3.00,"1438","1441",3.00,0.00,"",0.00,107.00,668.00,,,,,,
2009,12,21,1,"9E",20363,"9E","84329E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1218",-2.00,"1438","1429",-9.00,0.00,"",0.00,109.00,668.00,,,,,,
2009,12,22,2,"9E",20363,"9E","87759E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1213",-7.00,"1438","1423",-15.00,0.00,"",0.00,107.00,668.00,,,,,,
2009,12,23,3,"9E",20363,"9E","86739E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1216",-4.00,"1438","1416",-22.00,0.00,"",0.00,101.00,668.00,,,,,,
2009,12,24,4,"9E",20363,"9E","86969E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1216",-4.00,"1438","1415",-23.00,0.00,"",0.00,98.00,668.00,,,,,,
2009,12,25,5,"9E",20363,"9E","80249E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1216",-4.00,"1438","1408",-30.00,0.00,"",0.00,87.00,668.00,,,,,,
2009,12,26,6,"9E",20363,"9E","85069E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1216",-4.00,"1438","1430",-8.00,0.00,"",0.00,95.00,668.00,,,,,,
2009,12,27,7,"9E",20363,"9E","85879E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1218",-2.00,"1438","1430",-8.00,0.00,"",0.00,105.00,668.00,,,,,,
2009,12,28,1,"9E",20363,"9E","89139E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1228",8.00,"1438","1449",11.00,0.00,"",0.00,114.00,668.00,,,,,,
2009,12,29,2,"9E",20363,"9E","84099E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1215",-5.00,"1438","1432",-6.00,0.00,"",0.00,112.00,668.00,,,,,,
2009,12,30,3,"9E",20363,"9E","88369E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1215",-5.00,"1438","1417",-21.00,0.00,"",0.00,100.00,668.00,,,,,,
2009,12,31,4,"9E",20363,"9E","84759E","3732","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1220","1216",-4.00,"1438","1434",-4.00,0.00,"",0.00,109.00,668.00,,,,,,
2009,12,1,2,"9E",20363,"9E","88869E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1609",-6.00,"1830","1825",-5.00,0.00,"",0.00,105.00,668.00,,,,,,
2009,12,2,3,"9E",20363,"9E","85249E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1615",0.00,"1830","1828",-2.00,0.00,"",0.00,96.00,668.00,,,,,,
2009,12,3,4,"9E",20363,"9E","80059E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1613",-2.00,"1830","1813",-17.00,0.00,"",0.00,100.00,668.00,,,,,,
2009,12,4,5,"9E",20363,"9E","80269E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1610",-5.00,"1830","1821",-9.00,0.00,"",0.00,97.00,668.00,,,,,,
2009,12,6,7,"9E",20363,"9E","86839E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1615",0.00,"1830","1836",6.00,0.00,"",0.00,106.00,668.00,,,,,,
2009,12,7,1,"9E",20363,"9E","88379E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1614",-1.00,"1830","1819",-11.00,0.00,"",0.00,107.00,668.00,,,,,,
2009,12,8,2,"9E",20363,"9E","89219E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1628",13.00,"1830","1839",9.00,0.00,"",0.00,102.00,668.00,,,,,,
2009,12,9,3,"9E",20363,"9E","89649E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1608",-7.00,"1830","1827",-3.00,0.00,"",0.00,110.00,668.00,,,,,,
2009,12,10,4,"9E",20363,"9E","88379E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1632",17.00,"1830","1904",34.00,0.00,"",0.00,109.00,668.00,0.00,0.00,17.00,0.00,17.00,
2009,12,11,5,"9E",20363,"9E","89609E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1616",1.00,"1830","1832",2.00,0.00,"",0.00,115.00,668.00,,,,,,
2009,12,13,7,"9E",20363,"9E","89079E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1615",0.00,"1830","1832",2.00,0.00,"",0.00,107.00,668.00,,,,,,
2009,12,14,1,"9E",20363,"9E","88839E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1609",-6.00,"1830","1826",-4.00,0.00,"",0.00,111.00,668.00,,,,,,
2009,12,15,2,"9E",20363,"9E","87099E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1613",-2.00,"1830","1819",-11.00,0.00,"",0.00,105.00,668.00,,,,,,
2009,12,16,3,"9E",20363,"9E","88969E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1606",-9.00,"1830","1819",-11.00,0.00,"",0.00,107.00,668.00,,,,,,
2009,12,17,4,"9E",20363,"9E","85549E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1610",-5.00,"1831","1818",-13.00,0.00,"",0.00,106.00,668.00,,,,,,
2009,12,18,5,"9E",20363,"9E","80249E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1613",-2.00,"1831","1822",-9.00,0.00,"",0.00,94.00,668.00,,,,,,
2009,12,19,6,"9E",20363,"9E","87219E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1615",0.00,"1831","1838",7.00,0.00,"",0.00,95.00,668.00,,,,,,
2009,12,20,7,"9E",20363,"9E","86729E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1621",6.00,"1831","1829",-2.00,0.00,"",0.00,105.00,668.00,,,,,,
2009,12,21,1,"9E",20363,"9E","83909E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1612",-3.00,"1831","1822",-9.00,0.00,"",0.00,112.00,668.00,,,,,,
2009,12,22,2,"9E",20363,"9E","83909E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1612",-3.00,"1831","1812",-19.00,0.00,"",0.00,103.00,668.00,,,,,,
2009,12,23,3,"9E",20363,"9E","89829E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1610",-5.00,"1831","1810",-21.00,0.00,"",0.00,98.00,668.00,,,,,,
2009,12,26,6,"9E",20363,"9E","89249E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1732",77.00,"1831","1932",61.00,0.00,"",0.00,91.00,668.00,0.00,0.00,0.00,0.00,61.00,
2009,12,27,7,"9E",20363,"9E","85159E","3760","CHS","Charleston, SC","SC","South Carolina",37,"DTW","Detroit, MI","MI","Michigan",43,"1615","1630",15.00,"1831","1839",8.00,0.00,"",0.00,103.00,668.00,,,,,,
